epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,2752.49,0.94127,0.73602,1.14855,0.85049,0.70632,0.84732,0.57425,1.14128,0.96782,1.25746,0.008713,0.008713,0.008713
15,2941.89,0.93473,0.72367,1.13677,0.85435,0.76651,0.87001,0.60988,1.13848,0.92268,1.2734,0.008614,0.008614,0.008614
16,3131.66,0.93367,0.72838,1.13966,0.72101,0.80871,0.84568,0.57745,1.10253,0.97626,1.25202,0.008515,0.008515,0.008515
17,3321.71,0.9265,0.72407,1.13049,0.76098,0.81708,0.85024,0.57198,1.1234,0.98507,1.23629,0.008416,0.008416,0.008416
18,3511.54,0.92348,0.70833,1.13061,0.79215,0.755,0.84137,0.57477,1.11428,0.94346,1.2506,0.008317,0.008317,0.008317
19,3701.05,0.91474,0.70634,1.1216,0.79768,0.73633,0.8525,0.59778,1.10603,0.94586,1.23605,0.008218,0.008218,0.008218
20,3891.23,0.91451,0.69561,1.11878,0.77318,0.82754,0.8525,0.57922,1.10991,0.93641,1.2377,0.008119,0.008119,0.008119
21,4080.21,0.90642,0.68718,1.11799,0.72325,0.84999,0.8595,0.59856,1.10976,0.8913,1.23172,0.00802,0.00802,0.00802
1,218.988,1.34956,2.1863,1.497,0.55193,0.57747,0.56261,0.33357,1.28995,1.46743,1.40186,0.00332854,0.00332854,0.00332854
2,422.045,1.23334,1.44085,1.34711,0.6019,0.67916,0.67444,0.38004,1.35891,1.3361,1.431,0.00659592,0.00659592,0.00659592
3,621.969,1.30006,1.49794,1.38807,0.53674,0.53828,0.5098,0.28239,1.39405,1.7471,1.49057,0.00979731,0.00979731,0.00979731
4,821.628,1.3382,1.54926,1.40901,0.64506,0.61166,0.66153,0.39049,1.31947,1.36792,1.42861,0.009703,0.009703,0.009703
5,1020.58,1.28813,1.42338,1.37669,0.6345,0.69973,0.70842,0.42123,1.32994,1.24443,1.40369,0.009604,0.009604,0.009604
6,1219.43,1.24984,1.34363,1.3513,0.69234,0.7084,0.7468,0.44784,1.29316,1.1979,1.40622,0.009505,0.009505,0.009505
7,1419.45,1.21942,1.27431,1.33461,0.70042,0.7148,0.75154,0.48213,1.16683,1.13167,1.30643,0.009406,0.009406,0.009406
8,1618.66,1.18821,1.22772,1.30601,0.74349,0.74349,0.80424,0.51528,1.15973,1.04577,1.30145,0.009307,0.009307,0.009307
9,1817.34,1.17263,1.18682,1.29885,0.75749,0.7591,0.81025,0.53741,1.11783,0.99169,1.25322,0.009208,0.009208,0.009208
10,2017.17,1.14774,1.14301,1.28245,0.77767,0.77359,0.82228,0.54378,1.12631,0.96146,1.28749,0.009109,0.009109,0.009109
11,2215.63,1.12521,1.10568,1.27116,0.78677,0.72904,0.81947,0.54703,1.12919,0.95259,1.27887,0.00901,0.00901,0.00901
12,2415.18,1.1077,1.08536,1.25998,0.76336,0.73872,0.80339,0.54208,1.07535,0.95091,1.23265,0.008911,0.008911,0.008911
13,2615,1.0981,1.05659,1.25002,0.80265,0.74008,0.82688,0.55709,1.08384,0.95614,1.25421,0.008812,0.008812,0.008812
14,2814.25,1.08306,1.02457,1.24549,0.78614,0.78123,0.83116,0.55789,1.09443,0.9159,1.24794,0.008713,0.008713,0.008713
15,3013.66,1.06546,1.01412,1.23114,0.77976,0.75371,0.82582,0.55505,1.07485,0.91091,1.22227,0.008614,0.008614,0.008614
16,3213.57,1.05347,0.98475,1.22105,0.80492,0.78001,0.85357,0.58026,1.06506,0.89224,1.21949,0.008515,0.008515,0.008515
17,3414.02,1.0483,0.96935,1.21982,0.78083,0.75445,0.83166,0.57525,1.09199,0.88921,1.23797,0.008416,0.008416,0.008416
18,3613.22,1.03695,0.95092,1.20951,0.77873,0.76589,0.83253,0.56972,1.05508,0.88935,1.21754,0.008317,0.008317,0.008317
19,3812.49,1.02503,0.93472,1.20529,0.78279,0.7757,0.84155,0.57588,1.04808,0.88952,1.2232,0.008218,0.008218,0.008218
20,4012.51,1.01411,0.9185,1.19644,0.75266,0.81245,0.84675,0.58284,1.07082,0.87606,1.22451,0.008119,0.008119,0.008119
21,4211.47,1.00541,0.9062,1.1926,0.78282,0.7756,0.83645,0.58204,1.02371,0.87528,1.18942,0.00802,0.00802,0.00802
22,4411,0.99822,0.88909,1.18834,0.78642,0.79626,0.85648,0.60059,1.03733,0.83902,1.19459,0.007921,0.007921,0.007921
23,4610.38,0.986,0.88137,1.18269,0.77814,0.78598,0.84291,0.58887,1.04641,0.8676,1.22258,0.007822,0.007822,0.007822
24,4809.97,0.97994,0.87245,1.18344,0.79354,0.807,0.85332,0.59901,1.01901,0.83311,1.20123,0.007723,0.007723,0.007723
25,5009.09,0.97675,0.85492,1.17338,0.79069,0.81202,0.8532,0.6037,1.03626,0.82977,1.20447,0.007624,0.007624,0.007624
26,5208.74,0.96912,0.84882,1.1723,0.8262,0.78056,0.85339,0.59725,1.04201,0.84539,1.20117,0.007525,0.007525,0.007525
27,5408.02,0.95703,0.83083,1.16318,0.76238,0.79969,0.85126,0.59621,1.04707,0.83196,1.20606,0.007426,0.007426,0.007426
28,5607.12,0.95628,0.82753,1.16338,0.78142,0.81164,0.85992,0.61459,1.01197,0.80323,1.20198,0.007327,0.007327,0.007327
29,5806.57,0.94636,0.81707,1.15736,0.7706,0.78272,0.85428,0.60317,1.02123,0.81605,1.20933,0.007228,0.007228,0.007228
30,6005.57,0.93952,0.80942,1.15405,0.73727,0.83628,0.8556,0.60166,1.03249,0.83019,1.21699,0.007129,0.007129,0.007129
31,6205.37,0.93763,0.8043,1.15523,0.78592,0.81717,0.86583,0.61846,1.01687,0.79956,1.20233,0.00703,0.00703,0.00703
32,6404.45,0.93217,0.79495,1.15433,0.82404,0.79022,0.86306,0.60957,1.01292,0.81227,1.19352,0.006931,0.006931,0.006931
33,6603.07,0.93085,0.78561,1.15146,0.7854,0.82661,0.86847,0.60655,1.04735,0.79488,1.21179,0.006832,0.006832,0.006832
34,6801.33,0.91709,0.76614,1.14198,0.82426,0.81573,0.87672,0.62249,1.01169,0.78004,1.1997,0.006733,0.006733,0.006733
35,6999.86,0.9089,0.76425,1.13701,0.78689,0.83022,0.87254,0.62043,1.01414,0.79283,1.19474,0.006634,0.006634,0.006634
36,7198.48,0.90254,0.74889,1.13396,0.80275,0.81288,0.8692,0.6128,1.04601,0.80169,1.22687,0.006535,0.006535,0.006535
37,7397.16,0.90007,0.74255,1.1319,0.79897,0.80706,0.8659,0.60881,1.03784,0.79522,1.20399,0.006436,0.006436,0.006436
38,7597.27,0.89194,0.74151,1.12648,0.79483,0.82179,0.86684,0.61038,1.03431,0.82606,1.19949,0.006337,0.006337,0.006337
39,7796.05,0.88628,0.72529,1.12563,0.80649,0.80426,0.86092,0.60245,1.04083,0.8195,1.22057,0.006238,0.006238,0.006238
40,7996.81,0.8792,0.72859,1.11579,0.79691,0.81139,0.86361,0.60702,1.03497,0.82092,1.20011,0.006139,0.006139,0.006139
41,8197.15,0.87677,0.71974,1.11938,0.82409,0.80104,0.87231,0.61114,1.03334,0.81689,1.21651,0.00604,0.00604,0.00604
42,8397.79,0.86596,0.70556,1.11129,0.80842,0.82286,0.86496,0.60029,1.04748,0.83017,1.21075,0.005941,0.005941,0.005941
43,8598.4,0.86418,0.70097,1.10669,0.79981,0.8111,0.8553,0.60096,1.04933,0.80698,1.21672,0.005842,0.005842,0.005842
44,8799.45,0.85746,0.69128,1.10515,0.78776,0.83913,0.8652,0.61073,1.03611,0.80146,1.21159,0.005743,0.005743,0.005743
45,8999.82,0.85459,0.68624,1.09983,0.79532,0.81565,0.867,0.61137,1.0238,0.80731,1.20242,0.005644,0.005644,0.005644
46,9199.87,0.84989,0.6853,1.10451,0.77732,0.82573,0.85924,0.60891,1.01866,0.82598,1.20395,0.005545,0.005545,0.005545
47,9400.35,0.83642,0.67228,1.09248,0.79593,0.80648,0.86076,0.60706,1.02508,0.81999,1.21845,0.005446,0.005446,0.005446
48,9599.81,0.83444,0.66713,1.09255,0.81976,0.78485,0.85873,0.60792,1.0343,0.81582,1.22914,0.005347,0.005347,0.005347
49,9801.58,0.83402,0.66422,1.09252,0.80087,0.8241,0.86943,0.61389,1.03506,0.80818,1.22141,0.005248,0.005248,0.005248
50,10001.7,0.82933,0.65416,1.09133,0.81316,0.82272,0.86194,0.60807,1.04541,0.82235,1.23577,0.005149,0.005149,0.005149
51,10203.6,0.82127,0.64806,1.08341,0.80021,0.8233,0.86989,0.61172,1.03878,0.83145,1.23177,0.00505,0.00505,0.00505
52,10404.2,0.81283,0.63264,1.07853,0.80509,0.83598,0.86008,0.60764,1.04033,0.8269,1.23861,0.004951,0.004951,0.004951
53,10606.1,0.80497,0.63629,1.07585,0.81094,0.80525,0.85525,0.60719,1.01901,0.83827,1.22007,0.004852,0.004852,0.004852
54,10806.3,0.80038,0.62546,1.07183,0.78674,0.83057,0.86206,0.61481,1.02145,0.82743,1.22319,0.004753,0.004753,0.004753
1,219.902,0.73682,0.55317,1.04502,0.8009,0.80122,0.84425,0.58934,1.06531,0.90644,1.26674,0.00332854,0.00332854,0.00332854
2,423.534,0.75046,0.56944,1.04745,0.78824,0.79505,0.84537,0.58354,1.0775,0.91048,1.27462,0.00659592,0.00659592,0.00659592
3,622.646,0.81589,0.63975,1.07869,0.79949,0.78079,0.83826,0.57188,1.07214,0.90127,1.24896,0.00979731,0.00979731,0.00979731
4,823.493,0.88414,0.72533,1.11911,0.79086,0.7851,0.82655,0.57014,1.09994,0.92502,1.27913,0.009703,0.009703,0.009703
5,1024.43,0.88891,0.74132,1.1254,0.75804,0.7865,0.82189,0.56757,1.09513,0.93777,1.25773,0.009604,0.009604,0.009604
6,1224.43,0.89563,0.73876,1.12187,0.80857,0.79563,0.85535,0.57392,1.10368,0.87352,1.26151,0.009505,0.009505,0.009505
7,1424,0.89116,0.73501,1.12234,0.80452,0.78467,0.84676,0.57443,1.10194,0.87147,1.24951,0.009406,0.009406,0.009406
8,1623.54,0.88531,0.72998,1.1176,0.78696,0.81756,0.8517,0.56941,1.09215,0.87156,1.26152,0.009307,0.009307,0.009307
9,1822.86,0.88211,0.7262,1.11718,0.7768,0.80717,0.83927,0.56851,1.10853,0.88917,1.28912,0.009208,0.009208,0.009208
10,2023.16,0.8822,0.71946,1.11451,0.77559,0.80314,0.84044,0.58164,1.07696,0.91345,1.25892,0.009109,0.009109,0.009109
11,2223.75,0.87463,0.7152,1.107,0.77843,0.81479,0.84726,0.57662,1.07995,0.91999,1.26056,0.00901,0.00901,0.00901
12,2423.66,0.86906,0.70954,1.11193,0.74975,0.84848,0.85017,0.58253,1.07,0.85667,1.26638,0.008911,0.008911,0.008911
13,2624.91,0.87542,0.70979,1.11483,0.83132,0.77523,0.85967,0.58072,1.09494,0.8584,1.26782,0.008812,0.008812,0.008812
14,2825.03,0.86149,0.6875,1.10405,0.81299,0.7969,0.8592,0.59172,1.06518,0.85851,1.25547,0.008713,0.008713,0.008713
15,3025.96,0.85545,0.693,1.10622,0.7557,0.79096,0.8433,0.57361,1.097,0.88482,1.26733,0.008614,0.008614,0.008614
16,3225.71,0.85371,0.67761,1.09819,0.81542,0.77011,0.84485,0.58249,1.07388,0.86998,1.26232,0.008515,0.008515,0.008515
17,3426.69,0.85113,0.68048,1.10173,0.80002,0.81519,0.84919,0.59067,1.09535,0.85165,1.27242,0.008416,0.008416,0.008416
18,3626.44,0.84272,0.67423,1.09512,0.79115,0.78361,0.8474,0.57942,1.08219,0.87141,1.28703,0.008317,0.008317,0.008317
19,3826.18,0.83906,0.66359,1.09426,0.78631,0.80666,0.85552,0.59629,1.071,0.84207,1.26474,0.008218,0.008218,0.008218
20,4026.12,0.83047,0.66342,1.08679,0.79645,0.79363,0.84771,0.5909,1.05861,0.87763,1.24171,0.008119,0.008119,0.008119
21,4225.67,0.83335,0.65684,1.0946,0.78501,0.81202,0.84406,0.58769,1.06674,0.87054,1.27643,0.00802,0.00802,0.00802
22,4425.98,0.83333,0.65316,1.09263,0.78489,0.8142,0.83941,0.57446,1.10493,0.88179,1.28984,0.007921,0.007921,0.007921
23,4625.62,0.81672,0.64409,1.07693,0.80883,0.79913,0.84841,0.58934,1.06389,0.87216,1.26062,0.007822,0.007822,0.007822
24,4825.26,0.81299,0.63543,1.08355,0.80381,0.8039,0.85672,0.5942,1.07596,0.83166,1.25338,0.007723,0.007723,0.007723
25,5024.46,0.81187,0.6334,1.07764,0.80214,0.8265,0.84503,0.57976,1.07734,0.87527,1.25564,0.007624,0.007624,0.007624
26,5224.36,0.80709,0.6271,1.07607,0.79397,0.8034,0.84606,0.59373,1.07108,0.87042,1.2647,0.007525,0.007525,0.007525
27,5424.2,0.79971,0.62487,1.06885,0.83051,0.80026,0.84914,0.58051,1.11551,0.87728,1.29884,0.007426,0.007426,0.007426
28,5624.41,0.7984,0.63077,1.07375,0.7858,0.83585,0.85435,0.59549,1.06276,0.8502,1.27025,0.007327,0.007327,0.007327
29,5824.02,0.79348,0.613,1.06895,0.81614,0.80073,0.84828,0.59645,1.08471,0.86648,1.27302,0.007228,0.007228,0.007228
30,6023.63,0.79295,0.61442,1.06468,0.79803,0.82764,0.86306,0.59717,1.06959,0.85334,1.27233,0.007129,0.007129,0.007129
31,6224.98,0.79496,0.6117,1.07027,0.80713,0.83102,0.85762,0.59441,1.07352,0.86281,1.27298,0.00703,0.00703,0.00703
32,6424.76,0.78104,0.61274,1.06608,0.80323,0.81965,0.86325,0.59266,1.05426,0.85936,1.26058,0.006931,0.006931,0.006931
33,6624.71,0.78445,0.60704,1.0655,0.82039,0.80826,0.85736,0.58905,1.11209,0.847,1.32203,0.006832,0.006832,0.006832
34,6824.57,0.77592,0.59137,1.06104,0.80843,0.81008,0.85296,0.5895,1.08851,0.85614,1.29179,0.006733,0.006733,0.006733
35,7024.63,0.77085,0.59472,1.05718,0.82512,0.81993,0.86009,0.59164,1.10707,0.82706,1.29486,0.006634,0.006634,0.006634
36,7224.32,0.76443,0.59121,1.04976,0.80794,0.83142,0.86508,0.59832,1.09501,0.85054,1.28598,0.006535,0.006535,0.006535
37,7424.22,0.7649,0.58106,1.05239,0.80346,0.83676,0.86594,0.59314,1.1278,0.8069,1.31959,0.006436,0.006436,0.006436
38,7624.55,0.75788,0.57675,1.05153,0.81872,0.84445,0.86577,0.58638,1.08217,0.85013,1.30715,0.006337,0.006337,0.006337
39,7823.75,0.75474,0.56974,1.05238,0.82272,0.80747,0.86059,0.58901,1.09654,0.84195,1.31079,0.006238,0.006238,0.006238
40,8024.7,0.74769,0.56999,1.04376,0.81749,0.80565,0.85744,0.59742,1.07326,0.8583,1.27337,0.006139,0.006139,0.006139
41,8225.09,0.74918,0.57282,1.04231,0.84292,0.80863,0.88264,0.60725,1.09997,0.80718,1.29447,0.00604,0.00604,0.00604
42,8425.99,0.73965,0.55373,1.036,0.80878,0.8309,0.86963,0.59767,1.08932,0.85186,1.289,0.005941,0.005941,0.005941
43,8626.28,0.73867,0.55554,1.04045,0.8025,0.81996,0.8576,0.5918,1.099,0.83464,1.33263,0.005842,0.005842,0.005842
44,8826.81,0.73594,0.54784,1.03816,0.80048,0.82837,0.85599,0.58605,1.1265,0.83627,1.35862,0.005743,0.005743,0.005743
